Country Name,Date,Individual type,Unit of measure,Income Group,Value_digital,Value_health
AUSTRIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,23.0,16.0
AUSTRIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,28.0,16.0
AUSTRIA,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,22.0,16.0
AUSTRIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,29.0,16.0
AUSTRIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,34.0,16.0
AUSTRIA,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,27.0,16.0
AUSTRIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,41.0,16.3
AUSTRIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,46.0,16.3
AUSTRIA,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,37.0,16.3
BELGIUM,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,29.0,20.6
BELGIUM,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,35.0,20.6
BELGIUM,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,28.0,20.6
BELGIUM,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,31.0,21.3
BELGIUM,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,36.0,21.3
BELGIUM,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,30.0,21.3
BELGIUM,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,54.0,20.8
BELGIUM,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,60.0,20.8
BELGIUM,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,49.0,20.8
BULGARIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,24.0,12.3
BULGARIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,49.0,12.3
BULGARIA,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,22.0,12.3
BULGARIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,26.0,12.5
BULGARIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,52.0,12.5
BULGARIA,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,24.0,12.5
BULGARIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,33.0,12.5
BULGARIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,UPPER MIDDLE INCOME,54.0,12.5
BULGARIA,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,UPPER MIDDLE INCOME,30.0,12.5
CROATIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,23.0,18.3
CROATIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,41.0,18.3
CROATIA,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,21.0,18.3
CROATIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,23.0,18.6
CROATIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,34.0,18.6
CROATIA,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,23.0,18.6
CROATIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,41.0,18.4
CROATIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,53.0,18.4
CROATIA,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,35.0,18.4
CYPRUS,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,19.0,4.5
CYPRUS,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,36.0,4.5
CYPRUS,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,21.0,4.5
CYPRUS,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,23.0,5.7
CYPRUS,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,41.0,5.7
CYPRUS,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,25.0,5.7
CYPRUS,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,39.0,5.4
CYPRUS,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,57.0,5.4
CYPRUS,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,37.0,5.4
CZECH REPUBLIC,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,20.0,15.0
CZECH REPUBLIC,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,30.0,15.0
CZECH REPUBLIC,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,22.0,15.0
CZECH REPUBLIC,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,24.0,15.4
CZECH REPUBLIC,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,32.0,15.4
CZECH REPUBLIC,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,26.0,15.4
CZECH REPUBLIC,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,26.0,16.7
CZECH REPUBLIC,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,31.0,16.7
CZECH REPUBLIC,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,26.0,16.7
DENMARK,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,53.0,12.9
DENMARK,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,58.0,12.9
DENMARK,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,51.0,12.9
DENMARK,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,46.0,12.7
DENMARK,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,49.0,12.7
DENMARK,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,45.0,12.7
DENMARK,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,49.0,12.8
DENMARK,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,50.0,12.8
DENMARK,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,48.0,12.8
ESTONIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,39.0,23.3
ESTONIA,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,48.0,23.3
ESTONIA,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,37.0,23.3
ESTONIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,36.0,18.3
ESTONIA,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,44.0,18.3
ESTONIA,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,35.0,18.3
ESTONIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,47.0,21.1
ESTONIA,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,53.0,21.1
ESTONIA,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,43.0,21.1
FINLAND,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,28.0,20.4
FINLAND,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,31.0,20.4
FINLAND,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,27.0,20.4
FINLAND,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,44.0,18.9
FINLAND,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,47.0,18.9
FINLAND,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,42.0,18.9
FINLAND,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,51.0,17.0
FINLAND,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,53.0,17.0
FINLAND,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,49.0,17.0
FRANCE,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,27.0,18.4
FRANCE,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,33.0,18.4
FRANCE,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,25.0,18.4
FRANCE,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,32.0,20.2
FRANCE,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,39.0,20.2
FRANCE,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,31.0,20.2
FRANCE,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,34.0,17.8
FRANCE,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,38.0,17.8
FRANCE,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,33.0,17.8
GREECE,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,20.0,3.6
GREECE,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,36.0,3.6
GREECE,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,18.0,3.6
GREECE,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,25.0,3.3
GREECE,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,43.0,3.3
GREECE,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,21.0,3.3
GREECE,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,39.0,4.8
GREECE,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,57.0,4.8
GREECE,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,32.0,4.8
HUNGARY,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,41.0,25.4
HUNGARY,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,56.0,25.4
HUNGARY,2009,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,34.0,25.4
HUNGARY,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,41.0,26.0
HUNGARY,2010,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,55.0,26.0
HUNGARY,2010,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,35.0,26.0
HUNGARY,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,50.0,24.8
HUNGARY,2012,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,60.0,24.8
HUNGARY,2012,ALL INDIVIDUALS,PERCENTAGE OF INDIVIDUALS,HIGH INCOME,43.0,24.8
ICELAND,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS,HIGH INCOME,54.0,14.3
ICELAND,2009,ACTIVE LABOUR FORCE (EMPLOYED AND UNEMPLOYED),PERCENTAGE OF INDIVIDUALS WHO USED INTERNET IN THE LAST 3 MONTHS,HIGH INCOME,56.0,14.3
